HomeTeam,AwayTeam,HomeScore,AwayScore,Week,HomeResult,AwayResult,AwayAverage,HomeAverage,AwayFirstDowns,HomeFirstDowns,AwayTime,HomeTime,AwayThirdDowns,HomeThirdDowns,PredictHomeTeamWin
PHI,SEA,17.0,23.0,12,0.0,1.0,31.8,22.0,23.5,21.4,30.015,28.987,38.53,35.38,0.0
BAL,DAL,-1.0,-1.0,13,,,22.8181818182,25.6363636364,23.9090909091,18.9090909091,28.59,31.0,40.3,43.4,0.0
ATL,NO,-1.0,-1.0,13,,,29.6363636364,26.8181818182,23.0,23.1818181818,33.53,32.37,46.9,41.3,0.0
CHI,DET,-1.0,-1.0,13,,,22.9090909091,19.6363636364,21.7272727273,19.4545454545,28.19,29.28,39.6,31.7,0.0
TEN,CLE,-1.0,-1.0,13,,,24.0909090909,29.4545454545,20.7272727273,23.6363636364,30.07,29.14,40.6,44.3,1.0
MIA,CIN,-1.0,-1.0,13,,,20.9090909091,25.8181818182,21.6363636364,20.3636363636,32.4,30.2,36.2,40.4,0.0
MIN,JAX,-1.0,-1.0,13,,,20.6363636364,26.5454545455,20.0909090909,22.1818181818,28.45,29.57,42.6,43.6,1.0
NYJ,LV,-1.0,-1.0,13,,,26.5454545455,13.8181818182,21.5454545455,16.0909090909,31.14,27.34,49.3,31.4,0.0
PIT,WAS,-1.0,-1.0,13,,,21.9090909091,28.8181818182,20.9090909091,21.3636363636,30.16,32.18,39.7,46.0,1.0
HOU,IND,-1.0,-1.0,13,,,27.4545454545,24.3636363636,22.7272727273,19.8181818182,31.56,27.56,37.6,41.5,0.0
ARI,LAR,-1.0,-1.0,13,,,23.9090909091,27.6363636364,22.5454545455,25.4545454545,31.23,29.26,45.4,43.8,1.0
SEA,NYG,-1.0,-1.0,13,,,19.4545454545,31.0,19.4545454545,23.1818181818,30.55,30.26,41.1,39.5,1.0
GB,PHI,-1.0,-1.0,13,,,21.5454545455,31.7272727273,21.0909090909,22.5454545455,29.59,33.04,38.6,48.5,1.0
LAC,NE,-1.0,-1.0,13,,,20.8181818182,25.1818181818,22.5454545455,23.7272727273,30.12,33.34,43.7,43.8,1.0
KC,DEN,-1.0,-1.0,13,,,19.0,31.6363636364,18.1818181818,25.0,28.16,31.39,36.1,50.4,1.0
SF,BUF,-1.0,-1.0,13,,,27.1818181818,23.7272727273,23.7272727273,21.6363636364,31.38,32.49,49.6,40.2,1.0
BAL,DAL,-1,-1,13,,,22.818181818181817,25.636363636363637,23.90909090909091,18.90909090909091,28.59,31.0,40.3,43.4,0.0
ATL,NO,-1,-1,13,,,29.636363636363637,26.818181818181817,23.0,23.181818181818183,33.53,32.37,46.9,41.3,0.0
CHI,DET,-1,-1,13,,,22.90909090909091,19.636363636363637,21.727272727272727,19.454545454545453,28.19,29.28,39.6,31.7,0.0
